ID,注意事項
1,使用済み小型家電は毎月第３土曜日の午前９時００分から午前１１時３０分までオアシスセンター駐車場にて回収しています。
2,粗大ごみの回収日は阿久比町ホームページから確認してください。（地域によって回収日が異なります。）
